,Student ID,name_x,gender,grade,school,reading_score,math_score,School ID,name_y,type,size,budget
0,0,Paul Bradley,M,9th,Huang High School,66,79,0,Huang High School,District,2917,1910635
0,1,Victor Smith,M,12th,Huang High School,94,61,0,Huang High School,District,2917,1910635
0,2,Kevin Rodriguez,M,12th,Huang High School,90,60,0,Huang High School,District,2917,1910635
0,3,Dr. Richard Scott,M,12th,Huang High School,67,58,0,Huang High School,District,2917,1910635
0,4,Bonnie Ray,F,9th,Huang High School,97,84,0,Huang High School,District,2917,1910635
0,5,Bryan Miranda,M,9th,Huang High School,94,94,0,Huang High School,District,2917,1910635
0,6,Sheena Carter,F,11th,Huang High School,82,80,0,Huang High School,District,2917,1910635
0,7,Nicole Baker,F,12th,Huang High School,96,69,0,Huang High School,District,2917,1910635
0,8,Michael Roth,M,10th,Huang High School,95,87,0,Huang High School,District,2917,1910635
0,9,Matthew Greene,M,10th,Huang High School,96,84,0,Huang High School,District,2917,1910635
0,10,Andrew Alexander,M,10th,Huang High School,90,70,0,Huang High School,District,2917,1910635
0,11,Daniel Cooper,M,10th,Huang High School,78,77,0,Huang High School,District,2917,1910635
0,12,Brittney Walker,F,9th,Huang High School,64,79,0,Huang High School,District,2917,1910635
0,13,William Long,M,9th,Huang High School,71,79,0,Huang High School,District,2917,1910635
0,14,Tammy Hebert,F,10th,Huang High School,85,67,0,Huang High School,District,2917,1910635
0,15,Dr. Jordan Carson,M,11th,Huang High School,94,88,0,Huang High School,District,2917,1910635
0,16,Donald Zamora,M,9th,Huang High School,88,55,0,Huang High School,District,2917,1910635
0,17,Kimberly Santiago,F,9th,Huang High School,74,75,0,Huang High School,District,2917,1910635
0,18,Kevin Stevens,M,9th,Huang High School,64,69,0,Huang High School,District,2917,1910635
0,19,Brandi Lyons,F,9th,Huang High School,89,80,0,Huang High School,District,2917,1910635
0,20,Lisa Davis,F,10th,Huang High School,91,89,0,Huang High School,District,2917,1910635
0,21,Kristen Lopez,F,10th,Huang High School,90,77,0,Huang High School,District,2917,1910635
0,22,Kimberly Stewart,F,11th,Huang High School,99,84,0,Huang High School,District,2917,1910635
0,23,Christopher Parker,M,9th,Huang High School,81,68,0,Huang High School,District,2917,1910635
0,24,Chelsea Griffith,F,11th,Huang High School,85,73,0,Huang High School,District,2917,1910635
0,25,Cesar Morris,M,9th,Huang High School,92,70,0,Huang High School,District,2917,1910635
